AÑO,TRIMESTRE,PROVEEDOR,INGRESOS
2023,2,GIGARED COLOMBIA SAS,55861534
2023,2,CHILCO NET SAS,1337009807
2022,1,SYSTEL COMUNICACIONES CARTAGO S.A.S.,646800000
2023,2,NEIA SAS,50621730
2023,2,GLOBAL VISION TELECOMUNICACIONES S.A.S.,63481000
2023,2,VERIZON COLOMBIA S.A. - VERIZON BUSINESS,67304388
2023,2,SINERGY SOLUCIONES INTEGRALES S.A.S,2275198668
2022,4,FUTURE SOLUTIONS DEVELOPMENT S.A.S.,1524288726
2023,2,ASOCIACI�N ANTENA PARAB�LICA DEL SOCORRO,823196777
2023,2,ACCESS DIGITAL S.A.S,324361912
2023,2,AUFI S.A.S,15246218
2023,2,TUSMEGAS S.A.S.,11112000
2023,2,COLOMBIACOM SAS,9589624
2023,2,EMPRESA DE TELECOMUNICACIONES DE POPAYAN S.A EMTEL E.S.P,2811096116
2023,2,INTERED COLOMBIA S.A.S,112751722
2023,2,NEXO REDES Y TECNOLOG�A S.A.S.,27407056
2023,2,TERANET DE COLOMBIA S.A.S,166861347
2023,2,MUNDO + S.A.S,514367204
2023,2,SOCIEDAD INFINITY NETWORKS SAS,69801255
2023,2,RIONET.CO S.A.S,18802800
2023,2,TOTAL BAND COMUNICACIONES S.A.S,106553085
2023,2,CABLE SAS,322767000
2023,2,TELNET ISP S.A.S.,279704872
2023,2,ASOCIACION COMUNITARIA ANTENA PARABOLICA SAN VICENTE,73484994
2022,4,NODO PACIFICO S.A.S E.S.P,113581236
2023,1,CABLE CAUCA COMUNICACIONES SA,1011420144
2023,2,TV Y COMUNICACIONES J.L. S.A.S.,238468999
2023,2,ASOCIACION DE COPROPIETARIOS DE LA ANTENA PARABOLICA DE GACHANCIPA,68685450
2020,4,TECNO MELCON SAS,10080000
2021,4,IDB FIBRA S.A.S,3540000
2022,4,THE SPRING SOLUTIONS S.A.S,39829000
2023,2,INGETTEL LTDA,371607836
2023,2,LINAGE COMUNICACIONES SAS,7399936
2023,2,TV GAITAN TELECOMUNICACIONES S.A.S,129559000
2023,2,EVERNET S.A.S.,1444107543
2023,2,FUTURE SOLUTIONS DEVELOPMENT S.A.S.,1614710188
2023,2,FIDELITY NETWORKS S.A.S,439140012
2022,4,KABLE NET J & J S.A.S.,29856000
2023,2,VISION SATELITAL COMUNICACIONES S.A.S.,353120529
2022,3,DIL@NTEL S.A.S.,13066000
2023,2,ELEMEING S.A.S,125581609
2023,2,SERVICIOS PROFESIONALES WICOM S.A.S,873225887
2023,2,COVINET INGENIERIA SAS,56984579
2023,2,TELESABANA - TELECOMUNICACIONES S.A.S,42144900
2023,2,TELCAD DIGITAL TV COMUNICACIONES SAS,35625000
2023,2,UNIVERSAL COMMUNICATION NETWORK SAS,12707310
2022,1,RED DIGITAL TELECOMUNICACIONES S.A.S.,102008700
2023,2,TELECOMUNICACIONES ARGENTINA SAS,59390435
2021,3,S.I.G.I - SISTEMA INTEGRAL DE GESTION INFORMATICA S.A.S.,4597057
2023,2,IMPORIENTE SOLUCIONES GLOBALES S.A.S,126958785
2022,4,TIERRANET S.A.S.,148057436
2023,2,SISTEMAS AVANZADOS EN TELECOMUNICACIONES S.A.S,781148251
2022,2,TELECOM PLUS SAS,101358104
2022,1,POWERLINK TELECOMUNICACIONES S.A.S,985000
2023,2,DSC TELECOMUNICACIONES S.A.S,8362000
2021,3,ASISTEC COMPUTADORES S.A.S,157162217
2021,4,L.C COMUNICACIONES E U,100345779
2023,1,TELEMAX TOLIMA SAS,79935193
2023,2,IMALLI COMUNICACIONES SAS,30335000
2023,2,ORBETEC SAS,8998517
2023,2,CABLEMAS S.A.S,2006923441
2023,2,INTERMEGAMUNDO PARTNERS SAS,161816643
2023,2,COMUNICACIONES MARFE SOCIEDAD POR ACCIONES SIMPLIFICADA,76459431
2023,2,VELONET S.A.S,3069568209
2022,4,ALNET TELECOMUNICACIONES S.A.S,5355035
2023,2,WISPER INTERNET INALAMBRICO S.A.S,24900529
2022,4,INTERNORTE COMUNICACIONES S.A.S,545000
2023,2,LA CORPORACION PRO ACODEMA,479533162
2023,2,VILLAWEB TELECOMUNICACIONES SAS,26407431
2022,1,TELEPROMTV SAS,118816000
2023,2,JASTANET SAS,228759080
2023,2,TELENET DATOS.NET S.A.S,132213823
2023,2,DIGICOMS SAS,199657370
2023,2,SPEEDNET COLOMBIA SAS,16236000
2023,2,FCF COMUNICACIONES S.A.S.,194427244
2023,2,TELECOMUNICACIONES DEL CATATUMBO S.A.S.,183144345
2023,2,Proveedor de Telecomunicaciones SAS,394699391
2023,2,MORA COMUNICACIONES SAS,1563024
2021,4,CABLE YUMA SAS,151373000
2023,2,WORLD CONNECTIONS S.A.S.,370571584
2023,2,GLOBALNET INGENIERIA SAS,178321000
2021,1,SOCIEDAD GOMEZ TORRES Y ALVAREZ ARENAS COMPA�IA LIMITADA,147278487
2023,2,ASOCIACION ANTENA PARABOLICA EL SALADO,75135000
2023,2,CONEXI�N UNO SAS,16065050
2021,4,TV&M�S S.A.S,13025211
2023,2,CONECTATE HOGAR Y EMPRESAS SAS,306791750
2023,2,HIZ TELECOMUNICACIONES S.A.S,468352446
2023,2,CORPORACION ANTENA PARABOLICA BARRIO EL SALVADOR,7840000
2023,2,SIGMA TELECOMUNICACIONES SAS,75616008
2023,2,CONEXION DIGITAL EXPRESS SAS,2564214117
2023,2,C A RADIOCOMUNICACIONES E U,11163700
2022,4,WINS SOLUCIONES SAS,21802000
2023,2,EGA COMUNICACIONES S.A.S.,9882220
2023,2,SISTEMAS Y COMNICACIONES CALVO S.A.S,227491463
2023,2,PLUSNET SOLUCIONES TECNOLOGICAS S.A.S.,7845866
2021,1,PROYECTOVISION.CLICK ZOMAC S.A.S,65745886
2023,2,MICEL COMUNICACIONES S.A.S,12344100
2023,2,TELECOMUNICACIONES FACILRED S.A.S.,308159193
2023,2,ARM TELECOMUNICACIONES SAS,4329200
2020,4,JEFFERSON AFE S.A.S,142892701
2023,2,ASOCIACION SAMANIEGUENSE DE TELEVISION POR CABLE ASOTVCABLE,95155500
2023,2,NANO TECNOLOGY S.A.S.,768008000
2023,2,CABLE HOGAR.NET S.A.S.,116148857
2021,4,OCA TICS S.A.S,247296826
2023,2,ASOCIACION COMUNITARIA PARA EL DESARROLLO DE ANGELOPOLIS,66393501
2023,2,CONECTA COMUNICACIONES SAS,302618010
2022,1,CONECTANDO FRONTERAS S.A.S,114814643
2022,1,SOCIEDAD GOMEZ TORRES Y ALVAREZ ARENAS COMPA�IA LIMITADA,200693924
2023,2,GEDCOM S.A.S,61329948
2023,2,AJFIBER.NET S.A.S.,97953000
2023,2,INSIDENET SAS,51676950
2022,1,SISTELEC LTDA,283080523
2023,2,INGENIERIA E INFORMATICA EMPRESA ASOCIATIVA DE TRABAJO,21233411
2023,2,CABLELINEA S.A.S.,548289822
2023,2,MEGA FIBRA SAS,36481017
2023,2,REDES OPERACIONES Y CONTROL S A S,159085919
2023,2,FIBRANETPLUS S.A.S.,233572398
2023,2,SISTEMAS COMPUTARIZADOS DEL HUILA S.A.S.,142937935
2023,2,EASYTEC COMUNICACIONES SAS,85698385
2023,2,PEDRO ALBERTO DELGADO REYES E.U.,52920000
2022,4,BLU TELECOMUNICACIONES S.A.S.,147829000
2023,2,INTERNEXT COLOMBIA SAS,61850000
2023,2,G&C INGENIEROS SAS,63946500
2023,2,CALLTOPBX S.A.S.,232735956
2022,1,CONVERGENCIA DIGITAL S.A.S.,24420000
2023,2,APINET SAS,6906700
2022,4,GUACATEL SAS,29560000
2023,2,L@TINNETWORK SAS,96615680
2023,2,ORION COMUNICACIONES CHOACHI SAS,98408000
2022,4,ASOCIACION  DE COPROPIETARIOS  DE LA ANTENA PARABOLICA  DE SAN GIL- ASOPARSA TELESANGIL,98983520
2023,2,SERVISOLUCIONES J.M. S.A.S.,32249000
2023,2,INTERNET FLASHNET S.A.S.,11660000
2022,4,COMUNICACIONES REDES Y ENLACES SAS,873560973
2021,4,CENTRAL NET SOLUCIONES INTEGRALES SAS,40262777
2022,3,COGENT COLOMBIA S.A.S,290914653
2023,2,SISTELEC LTDA,354209143
2023,2,TELNET WIRELESS SAS,567916000
2023,2,TELEDATA COLOMBIA S.A.S,22615200
2023,2,INFINIT FLOW S.A.S.,22147999
2023,2,NETWORK COMUNICACIONES INTERNET HOGAR S.A.S,11624286
2023,2,POLINET TELECOMUNICACIONES COLOMBIA SAS,69997372
2023,2,TIVIT COLOMBIA DC TERCERIZACION DE PROCESOS SERVICIOS Y TECNOLOGIA S.A.S,42341226
2023,1,TELECOM PLUS SAS,133932099
2021,4,TV ISLA LTDA,1296621551
2022,4,NAVEGA COMUNICACIONES SAS,207321332
2022,1,WIFINET TELECOMUNICACIONES S.A.S,40843365
2022,1,INFRACOM INFRAESTRUCTURA EN TELECOMUNICACIONES S.A.S,100342993
2023,2,INTELCOM CALI SAS,114024437
2023,2,CPM TELECOMUNICACIONES S.A.S,76666469
2023,2,TELEMATICA LTDA,66619743
2022,1,VITEL COMUNICACIONES NET SAS,139729088
2022,3,PROYECTOVISION.CLICK ZOMAC S.A.S,59323786
2023,2,SERVICIOS INFORMATICOS DEL CHOCO SAS,287069712
2023,2,INFORMACION Y TECNOLOGIA S.A.,23694879
2023,2,PANDORA SOLUCIONES INFORMATICAS Y WIRELESS W.I.S.P S.A.S.,86515745
2023,2,SUSETELCO S.A.S,201101146
2023,2,INTEGRATEC COMUNICACIONES S.A.S,86033700
2023,2,SUCRE NET SOLUCIONES SAS,33479118
2023,2,RIS TELECOMUNICACIONES RED INALAMBRICA SATELITAL SAS,3721803
2023,2,COLOMBIA CONECTA MULTIREDES SAS,21250000
2023,2,SERVICIOS INTEGRALES TC S.A.S,21515000
2021,3,MEDIAWIRE TELECOMUNICACIONES S.A.S,197923964
2023,2,INALREDES SAS,253143000
2022,4,TIKNETWORKS SAS,47107188
2023,2,FIBRAZO S.A.S,43345000
2023,2,SOLUCIONES INTEGRALES EN TECNOLOGIA Y SEGURIDAD COMPUSEG S.A.S,99800000
2023,2,NETWORK DAT@LINK S.A.S.,190546450
2023,2,CONNECTION TELECOMUNICACIONES ISP S.A.S,160679698
2023,2,METRONET COLOMBIA SAS,66947204
2023,2,BIOS INGENIERIA S.A.S,127229000
2023,2,MAX TV SAS,154525061
2023,2,MIKROTECK S.A.S.,55863854
2022,1,COMPUWEB ISP S.A.S,5278600
2023,2,HOGARNET COMUNICACIONES S.A.S,266169374
2023,2,NOVANET DIGITAL S.A.S,32312688
2023,2,WIFAO COLOMBIA S.A.S.,121929936
2023,2,TPE COMUNICACIONES COLOMBIA SAS,2148866917
2023,2,TV SUR LTDA,0
2023,2,MAX INTER FIBRA S.A.S.,143699252
2023,2,REDESMAS.NET S.A.S,23663000
2023,2,RIOMED S.A.S.,133151143
2023,2,RED ONLINE MST S.A.S.,7985000
2021,3,WEBEX S.A.S,244654000
2023,2,INTERNET Y TELECOMUNICACIONES DE COLOMBIA S.A.S.,194313469
2023,2,ULTRANET CONEXIONES INAL�MBRICAS S.A.S.,25682850
2023,2,RURAL NET COMUNICACIONES S.A.S,30045000
2023,2,COMPURED BARAYA SAS,17530000
2022,4,ISP PROVEEDOR DE SERVICIOS DE INTERNET S.A.S,178268000
2023,2,FLASHNET COMUNICACIONES S.A.S.,16858000
2023,2,SANTELELLANO SAS,59788482
2023,2,EME S.A.,275072639
2023,2,GIGAREDES COMUNICACIONES SAS,90179533
2023,2,DISTRICABLES LTDA,61838700
2023,2,KIRA ISP S.A.S.,153364629
2023,2,INTERMAX INTERNET INALAMBRICO S.A.S,17445000
2022,4,TUCABLE S.A.S.,1128335181
2023,2,TELEMATICS NETWORK SAS,85738656
2023,2,COMPUSEB SOLUTIONS SAS,78412789
2022,4,FASTNET TELECOMUNICACIONES SAS,90460423
2022,2,SERVINET MED SAS,17533000
2021,4,SOCIEDAD GOMEZ TORRES Y ALVAREZ ARENAS COMPA�IA LIMITADA,186862000
2020,3,NETBEAM S.A.S.,5152400
2023,2,CRL INGENIERIA S.A.S,29252773
2023,2,PROVINET TELECOMUNICACIONES SAS,121928733
2023,1,LINK EXPRESS.NET S.A.S.,16434775
2022,4,EGA COMUNICACIONES S.A.S.,10606600
2023,2,C & C VISION S.A.S.,686244143
2023,2,KAIROS.NET S.A.S,25410071
2023,2,CORPORACION ANTENA PARABOLICA QUINCHIA,24946130
2021,2,CENTRAL NET SOLUCIONES INTEGRALES SAS,32148885
2021,2,AJ GLOBAL PROYECTOS NET S.A.S.,92684867
2023,2,ITELKOM S.A.S.,1268528950
2023,2,SPEED RED.NET S.A.S,39539000
2023,2,SOLUCIONES TECNICAS INTEGRALES EN TELECOMUNICACIONES S.A.S.,3270000
2023,2,EMPRESA DE COMUNICACIONES DEL PUTUMAYO S.A.S,1154000
2023,2,GENESIS DATA LTDA,108817404
2023,2,NODO PACIFICO S.A.S E.S.P,276266987
2023,2,ULTRANET COLOMBIA S.A.S,83414995
2023,2,COMPA�IA COLOMBIANA DE TELECOMUNICACIONES SAS,337817405
2022,4,CIBER-NET-ALIDAD SAS,75401680
2023,2,EASYNET GROUP S.A.S,131511666
2023,2,SOTO RED S.A.S.,88401200
2023,2,MUNDOTIK S.A.S.,15750000
2021,4,ENIGMA IMCT SAS,387552331
2023,2,ECOWIRELESS SAS,113948334
2023,2,INTERCOMM DE NARI�O SAS,434607785
2023,2,BHB WISP INVERSIONES S.A.S,274988238
2023,2,UBIPREL S.A.S,212925000
2023,2,MULTI REDES COMUNICACIONES Y SOLUCIONES TECNOLOGICAS NET TV S.A.S.,21647196
2023,2,ESPACIOS Y REDES SAS,106199000
2023,2,SERVIWISP S.A.S,53508571
2023,2,SOLUCIONES DIGITAL CONNECTIONS SAS,39069266
2023,2,CAPIBARA COMUNICACIONES S.A.S,21166087
2023,2,IP COMUNICACIONES DEL VALLE ZOMAC S.A.S,40783479
2023,2,ENLACES INTERNET A TU ALCANCE SAS,21755080
2023,2,COSMONET COMUNICACIONES COLOMBIA S.A.S.,76929311
2021,1,OCA TICS S.A.S,376953636
2023,2,GS TELECOMUNICACIONES S.A.S.,1530000
2023,2,ZABUD TECHNOLOGIES S.A.S,142622400
2023,2,COMUNICACIONES Y SISTEMAS DE COLOMBIA S.A.S,73767008
2023,2,EYON RV S.A.S,134008495
2022,4,CRL INGENIERIA S.A.S,19329665
2021,4,FUTURE SOLUTIONS DEVELOPMENT S.A.S.,1154115455
2021,1,GLOBAL CONNECTION TICS TICS S.A.S,5000000
2020,3,LOGISTICA EN TELECOMUNICACIONES S.A.S.,37275000
2021,1,COMSSET COMUNICACIONES SAS,235182000
2021,1,INTERVID TELECOMUNICACIONES S.A.S.,6525000
2021,1,INTERNET FLASHNET S.A.S.,3160000
2020,3,SKYNET DE COLOMBIA S.A.S. E.S.P,2839248
2021,1,ARTMAR MEGA BOSTON S.A.S,680000
2021,1,TORNET COMUNICACIONES S.A.S,99801596
2020,4,SINERGY SOLUCIONES INTEGRALES S.A.S,1265921719
2021,2,FUTURE SOLUTIONS DEVELOPMENT S.A.S.,1005089766
2021,2,SERVIYA.NET S.A.S,151305569
2021,1,ANTNET COMUNICACIONES S.A.S.,79735000
2021,2,WIRELESS COLOMBIA S.A.S.,403228652
2021,2,COMUNICACIONES ESTELARES DE COLOMBIA  S.A.S.,97950000
2021,2,TUFIBRA GRUPO EMPRESARIAL S.A.S.,18564000
2021,1,INTERNORTE DIGITAL S.A.S.,47881000
2021,1,INTEROS - INTERNET SERVICE S.A.S.,160600278
2021,1,TECOLRADIO TECNOLOGIA COLOMBIANA DE RADIO COMUNICACIONES E.U.,39129000
2021,1,COOPERATIVA MULTIACTIVA DE BORRERO AYERBE,85122150
2021,1,COLOMBIA MAS TV SAS,2964568326
2021,2,SERTELCON S.A.S.,8619242
2021,2,DIGICOMS SAS,143580214
2021,1,ENLACES.NET.HUILA SAS,5054454
2021,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,188107265152
2020,3,ASOCIACION DE TELEVISION TELEBOYACA,121604900
2021,1,YTV COMUNICACIONES S.A.S,7941945
2021,1,HYDRA SOLUCIONES EMPRESARIALES INGENIERIA SAS,119129555
2021,1,NAVEGAMAS TELECOMUNICACIONES S.A.S.,7753335
2023,2,INTER UVA SAS,155000
2023,2,O4IT COLOMBIA LTDA,78068558
2021,2,T&C COMUNICACIONES ANTIOQUIA S.A.S,14493498
2021,1,INTERLANS S.A.S.,696250281
2023,2,NETWORK CONNEXIONS SAS,101017855
2020,4,CONEXION WISP S.A.S,22152397
2021,2,SANEST SAS,18311097
2021,1,VIVANET SAS,5844755
2021,4,GTEL TELECOMUNICACIONES S.A.S.,161175000
2020,3,REDES Y TELECOMUNICACIONES INGENIER�A SAS,44017175
2021,1,ID INTEGRACION DIGITAL SAS,89420797
2021,1,DISTRICABLES LTDA,46453306
2020,4,INTERED COLOMBIA S.A.S,62212000
2021,1,RAPILINK S.A.S.,134200000
2020,3,MEDIA COMMERCE PARTNERS S.A.,10730905561
2022,4,MIRAVISION S.A.S,347396000
2021,1,GRUPO COLIBRI S.A.S,26894643
2021,1,IMALLI COMUNICACIONES SAS,6335000
2020,3,INTERURAL SAS,27687000
2021,1,FIBERNET TV S.A.S,699260836
2021,1,GLOBALTRONIK S.A.S,141609801
2021,1,INGENIERIA SOFTWARE & COMPUTADORES S.A.S,19934600
2020,3,GROUP TELECOMUNICACIONES P&C SAS,72279800
2021,1,PROMOTORA DE TELEVISION. INTERNET Y COMUNICACIONES SAS,310939963
2021,2,COVINET INGENIERIA SAS,36379916
2021,1,SERTELCON S.A.S.,3792486
2021,2,SERVICIOS PROFESIONALES EN NETWORKING LIMITADA,91728417
2021,1,DIASCON INGENIERIA S.A.S,20541339
2020,3,CONNECT TELECOMUNICACIONES SAS,96771383
2021,1,TV AZTECA SUCURSAL COLOMBIA,404188761
2021,1,TVCABLE TELECOMUNICACIONES S.A.S.,487941000
2020,3,CABLE NET CUCUTA SAS,50938883
2021,2,DSC TELECOMUNICACIONES S.A.S,1380400
2021,1,A&G MUNDO EN LINEA SAS,50105998
2021,1,DM SOLUCIONES TELEMATICAS S.A.S,45102558
2021,4,TV UNIDOS J&G S.A.S.,420000
2021,1,ELECTRONICA Y TELECOMUNICACIONES DE COLOMBIA S. A. S. - ETELCO S. A. S.,80237761
2021,2,COLUMBUS NETWORKS DE COLOMBIA LTDA,54345846730
2021,1,REDES DEL VALLE POR COLOMBIA S.A.S,9021000
2021,1,MAX TV SAS,109067604
2021,1,BUSTANET S.A.S,400000
2021,2,HS NETWORKS SAS,825091978
2021,1,GLOBENET CABOS SUBMARINOS COLOMBIA S.A.S.,1751434000
2020,4,PLANETA IP COMUNICACIONES S.A.S. ESP,113572629
2021,1,TV SUR LTDA,35232605
2021,1,INTERCOM COLOMBIA LTDA,139965533
2020,3,EDCOM TELECOMUNICACIONES S.A.S.,10920000
2021,2,WIRELESS TECHNOLOGY SAS,3248000
2021,1,SPEED NET INTERNET AL ALCANCE DE TODOS S.A.S,79565000
2021,2,HOLANET TELECOMUNICACIONES S.A.S,15065000
2021,2,"SOCIEDAD DE TELEVISION, MERCADEOS Y TELECOMUNICACIONES S.A.S",377680000
2021,1,FORERO & CIA COMUNICACIONES S.A.S.,283223327
2021,1,DESARROLLOS Y REDES S.A.S.,147382862
2021,4,SUPERCABLE TELECOMUNICACIONES SAS,339709086
2021,1,ESPACIOS Y REDES SAS,34562370
2021,1,LOGISTICA INTEGRAL SATELITAL S.A.S.,549082270
2021,2,WG COMUNICACIONES SAS,141156070
2021,2,RACOM S.A.S. REDES Y ASESORIAS EN COMUNICACIONES,69654498
2021,1,TV COLOMBIA DIGITAL SAS,828131301
2021,2,M&M INVERSIONES MORENO S.A.S,385363165
2021,1,INTERPROJECT COMUNICACIONES S.A.S.,13662140
2021,1,TECNOFUTURO 25 S.A.S,5655000
2020,3,EME S.A.,241062220
2021,1,COVINET INGENIERIA SAS,29626053
2021,2,U2RED S.A.S,18846984
2021,1,UNE EPM TELECOMUNICACIONES S.A.,341927258175
2021,1,YESTCOBE COMUNICACIONES SAS,25594404
2021,2,SERVICONECTION SAS,137204584
2021,2,INTERTV INTERNET Y TELEVISION POR CABLE S.A.S,4080000
2021,1,WILQUAY COMUNICACIONES 1973 S.A.S,9075250
2022,4,LIBRE TECNOLOGIA SAS,96389816
2021,1,TV RED ABREGO S.A.S,114966000
2021,2,YTV COMUNICACIONES S.A.S,13059000
2021,2,MIRAVISION S.A.S,244755645
2021,1,CABLE GUAJIRA LTDA,57764342
2021,2,AJFIBER.NET S.A.S.,92422680
2021,1,REDES INNOVACION Y CONECTIVIDAD S.A.S,3880000
2021,2,INVERSIONES Y COMUNICACIONES R.M. SAS,59235000
2022,4,WIRED S.A.S.,116640761
2020,3,LIKES.NET S.A.S,25000000
2021,2,INTERCOM TELECOMMUNICATIONS SAS,3960000
2020,3,TECNOSERVICOM S.A.S.,99385334
2020,3,CONEXION WISP S.A.S,17147452
2020,3,WIRETEL S.A.S.,20418880
2021,1,EMPRESA PRESTADORA DE SERVICIOS DE INTERNET Y TELEVISION SUR DE BOLIVAR S.A.S.,170388200
2021,2,CABLE SAS,248142000
2020,4,INTER T.V. S.A.S,375166100
2021,1,EL MUNDO EN SUS MANOS INTERNET SAS,24459890
2023,2,INTERCONETXIONES FTTH S.A.S,106129760
2021,1,REDES DIGITALES SAN CARLOS SAS,75190162
2021,1,CONECTATE COMUNICACIONES DEL PACIFICO S.A.S,2293319
2020,3,TV GAITAN TELECOMUNICACIONES S.A.S,120315700
2021,2,CISNEROS TELECOMUNICACIONES S.A.S,26891657
2020,3,AMERICANA DE TECNOLOGIA Y COMUNICACIONES SAS,564185729
2021,1,TELECOMUNICACIONES E INTERNET DE COLOMBIA SAS,27140556
2020,4,TELNET ISP S.A.S.,184831836
2021,1,REDES TV SAT S.A.S,32178000
2020,3,DIGICOMS SAS,92683000
2021,2,VELONET S.A.S,2170974000
2021,2,COMPA�IA LATINOAMERICANA DE SOFTWARE SAS - LASC SAS,378240518
2021,1,CABLELINEA S.A.S.,311082637
2021,2,TECNISOLUCIONES DENAR SAS,47491478
2021,1,CLICK HD COLOMBIA S.A.S.,251426000
2021,2,IMPORIENTE SOLUCIONES GLOBALES S.A.S,104276448
2021,1,INTERURAL SAS,46986565
2021,1,ANTENA DE TELEVISION YUMBO S.A.S,3246000
2020,3,NEIA SAS,69140193
2021,1,INTERCOMM DE NARI�O SAS,103144904
2020,3,CABLE EXITO SAS,1020557797
2020,3,AT�T GLOBAL NETWORK SERVICES COLOMBIA LTDA.,57225780
2021,1,TCKOMPU S.A.S.,20566088
2021,1,ASOCIACION DE TV COMUNITARIA DEL MUNICIPIO DE OIBA ASOUAPO,31460000
2020,3,RED-DOOPLER SAS,33854300
2021,1,DEAN WISP SAS,5123334
2020,3,INFRATEL COMUNICACIONES SAS,62349776
2021,1,EASY NETWORKS S.A.S,2400000
2021,1,TV INTERR COMUNICACIONES S.A.S.,36586400
2021,1,SECO S.A.S.,97980302
2020,3,SINERGIA SOLUTIONS S.A.S.,59320000
2020,4,SM@RT NETWORK S.A.S.,1340000
2021,1,ORION COMUNICACIONES CHOACHI SAS,98081492
2020,3,COOPERATIVA MULTIACTIVA DE SERVICIOS INTEGRALES COOSUMA SIGLA COOSUMA,4143750
2021,1,ASOCIACION DE TELEVIDENTES DE GUACHETA,100776000
2020,3,CABLE NET S.A.S.,488007717
2021,2,OSEGUTV SAS,40638000
2020,3,TELECOMUNICACIONES URMED S.A.S,25534687
2021,1,TELNET DE OCCIDENTE S.A.S. ZOMAC,39847680
2020,3,M@STV PRODUCCIONES SAS,467023000
2020,3,CONECTANDO ANDO SAS,25300000
2020,4,EXODO 20 FIBRA OPTICA S.A.S.,185304747
2021,1,UFICOL SAS,29324369
2021,1,SIENERCOM COLOMBIA SAS,6000000
2021,1,JASZ COMUNICACIONES TECNOLOGICAS E INTERACTIVAS E U,80385819
2021,1,RED-DOOPLER SAS,38359700
2021,1,GAME INC,78072000
2020,3,UHF COMUNICACIONES SAS,114399942
2021,1,SINURED SOLUCIONES S.A.S.,117163673
2021,1,HOSTDIME.COM.CO S.A.S.,33601006
2021,2,CODISERT S.A.,3181838368
2021,2,RED UNO S.A,4260504
2020,4,HIZ TELECOMUNICACIONES S.A.S,600091000
2021,2,CON�CTATE TELECOMUNICACIONES S.A.S,36665000
2021,1,ASOCIACION  DE COPROPIETARIOS  DE LA ANTENA PARABOLICA  DE SAN GIL- ASOPARSA TELESANGIL,97544290
2020,3,INSITEL S.A.S.,1430895061
2021,2,"SISTEMAS, TELECOMUNICACIONES & SEGURIDAD S.A.S",8196137
2020,3,CONSULNETWORKS S.A. E.S.P.,1149203743
2021,2,COMPUSOLUCIONES Y TELECOMUNICACIONES C&H SAS,10466684
2021,1,HIZ TELECOMUNICACIONES S.A.S,528205746
2021,1,INALREDES SAS,187133000
2020,3,EXODO 20 FIBRA OPTICA S.A.S.,169416890
2021,2,EMPRESA DE SERVICIOS INALAMBRICOS Y TELECOMUNICACIONES - EMSITEL LTDA.,626526509
2021,2,FABRIMETAL ARROYAVE S.A.S.,180290398
2022,4,CONEXA TELECOMUNICACIONES S.A.S,46966386
2021,1,TECNISOLUCIONES DENAR SAS,32395311
2021,1,TEVECOM SAS,151135871
2021,1,CONEXION DIGITAL EXPRESS SAS,1060045466
2023,2,OPITASENLINEA S.A.S.,4695758
2021,1,SUPERREDES SAS,1457532311
2020,3,OSEGUTV SAS,0
2021,1,MEGAS.NET S.A.S.,193590000
2020,4,ARDCLANET S.A.S,419748
2021,1,EMPRESA DE TELECOMUNICACIONES DE POPAYAN S.A EMTEL E.S.P,1362946124
2021,1,COMUNICACIONES MARFE SOCIEDAD POR ACCIONES SIMPLIFICADA,25306916
2021,2,TECNOLOGIAS MERCATECH S.A.S,120473684
2021,1,ALTITUD STUDIOS S A S,111596984
2021,1,TELEWEBCOLOMBIA S. A. S.,83760687
2021,1,AMERICANA DE TECNOLOGIA Y COMUNICACIONES SAS,713342645
2021,1,P & B COMUNICACIONES S.A.S.,8343000
2020,3,SPEED NET INTERNET AL ALCANCE DE TODOS S.A.S,29870000
2020,3,SINERGY SOLUCIONES INTEGRALES S.A.S,1076206732
2021,2,INZANET SAS,378511000
2020,3,VIRA TELECOMUNICACIONES S.A.S.,9670000
2021,1,NET&COM LTDA.,50856737
2020,4,CALLTOPBX S.A.S.,152858652
2020,3,TV ISLA LTDA,369247844
2021,1,CABLENET PLUS S.A.S. ZOMAC,82006299
2021,1,VPN INGENIER�A EN TELECOMUNICACIONES S.A.S.,409249286
2021,1,TV SANV SAS,2576999699
2021,1,TEXEL GROUP S.A.S.,2751180
2020,3,GLOBAL PLAY SAS,17640000
2021,2,ASONET COLOMBIA LTDA,451232000
2020,3,TUNORTETV TELECOMUNICACIONES S.A.S,107862615
2023,2,DM SOLUCIONES TELEMATICAS S.A.S,51097667
2021,1,CABLEMAS PUERTO RICO S.A.S.,4640000
2021,2,UNICABLE H.D. SAS,44432580
2021,1,CYBERNET INTERNET RURAL S.A.S.,4020000
2021,1,BARAK TECNOLOGIA INFORMACION Y COMUNICACIONES SAS,462915000
2020,3,COVINET INGENIERIA SAS,18924371
2021,1,IP COMUNICACIONES Y TECNOLOGIA S.A.S,10983000
2021,2,SOLINGWEB. NET S.A.S.,94109283
2020,3,DIGITVNET S.A.S,90650000
2021,2,TELCAD DIGITAL TV COMUNICACIONES SAS,27023000
2021,1,CONEXCOL J.F S.A.S.,9784970
2020,3,SERVICIOS DE CONECTIVIDAD S.A.S.,54021873
2021,2,ITELKOM S.A.S.,1008735391
2021,1,INGENIERIA ELECTRONICA COLOMBIANA S A S,8008407
2021,1,TELENETDATOS.COM S.A.S,112879000
